Release,DescricaoRelease,Categoria,CodeSmell,Justificativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.7.3,v1.7.3,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.7.0,v1.7.0,Bloaters,Long Method,Bloaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.7.0-beta.6,v1.7.0-beta.6,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.7,v1.6.7,Bloaters,Long Method,"private String primitiveObsession this.primitiveObsession = primitiveObsession System.out.println(""This is the method"") this.primitiveObsession = primitiveObsession",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.7.0-beta.2,v1.7.0-beta.2,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.4,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e interfaces que podem ser reduzidas ao longo do tempo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.4,Large Class,Object Orientation Abusers,Large Class,A combinação de métodos grandes e interfaces pequenas pode ser desencadeada quando não se usa bem a estrutura de classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.4,Primitive Obsession,Change Preventers,Refuse to abandon primitive data types and avoid unnecessary changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.4,Data Clumps,Change Preventers,Desconectar dados complexos para evitar problemas futuros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.2,v1.6.2,Bloaters,Long Method,"Opcionalmente, pode haver long method que não precisa ser mantida ou refactorizado, mas isso depende da situação específica do projeto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.2,v1.6.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,Aqui há exemplos de classes alternativas com diferentes interfaces que podem ser refatoradas para melhorar a organização e a eficiência.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.2,v1.6.2,Change Preventers,Divergent Change,Um exemplo de divergência entre classes pode ser a implementação de métodos diferentes na mesma classe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.2,v1.6.2,Couplers,Feature Envy,Um exemplo de conflito entre classes poderia ser a implementação de métodos semelhantes em duas classes distintas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.2,v1.6.2,Regras obrigatórias,Identificação de código smell,"Aqui estão algumas características de código smell que devem ser identificados: ""Long Method"", ""Large Class"", ""Primitive Obsession"", ""Data Clumps"", ""Data Clumps"", ""Data Clumps"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-rc.4,v1.6.0-rc.4,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e interfaces que podem ser refatoradas para melhorar a organização e a legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-rc.4,v1.6.0-rc.4,Object Orientation Abusers,Alternative Classes with Different Interfaces,A combinação de classes diferentes pode tornar o código mais complexo e difícil de entender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-rc.4,v1.6.0-rc.4,Change Preventers,Divergent Change,Um código que não se encaixa na estrutura atual pode resultar em problemas futuros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-rc.4,v1.6.0-rc.4,Couplers,Feature Envy,Um código que faz referências a partes do sistema externa pode causar conflitos de controle e dificuldades de manutenção.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-rc.4,v1.6.0-rc.4,Regras obrigatórias,Identificação de código smells é fundamental para garantir que o código seja mantido de forma eficiente e segura.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.11,Long Method,Bloaters,Long Method,"Opcionalmente, pode haver outros problemas semelhantes, mas não há evidências suficientes para identificar todos os bloaters neste código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-beta.6,v1.6.0-beta.6,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.9,v1.5.9,Bloaters,Long Method,"Opcionalmente long method in class ""MyClass"" is causing the code smell of Bloaters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.9,v1.5.9,Object Orientation Abusers,Alternative Classes with Different Interfaces,The code uses an alternative class with different interfaces that could be considered object orientation abusers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.9,v1.5.9,Change Preventers,Divergent Change,"There are divergent changes in the code, which could lead to issues if not managed properly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.9,v1.5.9,Couplers,Feature Envy,"The code contains features that are not being used effectively, leading to coupling issues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.6.0-beta.2,v1.6.0-beta.2,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.7-rc.2,v1.5.7-rc.2,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ao longo do tempo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.7-rc.2,v1.5.7-rc.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,A combinação de classes diferentes pode tornar a programação mais complexa e difícil de manter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.7-rc.2,v1.5.7-rc.2,Change Preventers,Divergent Change,Um conflito de mudança pode causar problemas de integração e desigualdade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.7-rc.2,v1.5.7-rc.2,Couplers,Feature Envy,Um conflito entre características pode criar desafios para o desenvolvimento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.7-rc.2,v1.5.7-rc.2,Regras obrigatórias,Identificação de código smells é importante para garantir que o código seja mantido eficazmente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.6-rc.1,v1.5.6-rc.1,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ou reorganizadas para melhorar a eficiência e legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.6-rc.1,v1.5.6-rc.1,Object Orientation Abusers,Alternative Classes with Different Interfaces,A combinação de classes diferentes pode tornar o código mais complexo e difícil de entender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
